Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),backbone,Setting,test_next_activity_acc_median,test_next_activity_acc_q1_logs,test_next_activity_acc_q3_logs,test_next_activity_acc_iqr_logs,test_next_remaining_time_loss_median,test_next_remaining_time_loss_q1_logs,test_next_remaining_time_loss_q3_logs,test_next_remaining_time_loss_iqr_logs,test_next_time_to_next_event_loss_median,test_next_time_to_next_event_loss_q1_logs,test_next_time_to_next_event_loss_q3_logs,test_next_time_to_next_event_loss_iqr_logs,runtime_h_median,runtime_h_q1_logs,runtime_h_q3_logs,runtime_h_iqr_logs
GPT-Neo-1.3B,FS,"0.0638 [0.0493, 0.0716]","1.1697 [0.9869, 1.2319]","1.6236 [1.4818, 1.7275]","0.05076 [0.01466, 0.07842]",gptneo-1b3,FewShot-LoRA,0.06376237623762376,0.049262117937635075,0.07157235775666199,0.02231023981902691,1.1697281475633678,0.9869037142258584,1.231855803818683,0.24495208959282466,1.6236436212202954,1.4817739424568592,1.7275339834005525,0.2457600409436933,0.0507642086045,0.014663030090055556,0.07842247804744444,0.06375944795738889
GPT-Neo-1.3B,LoRA,"0.7152 [0.6868, 0.7321]","0.9855 [0.6834, 1.0885]","1.0051 [0.9041, 1.1930]","0.18707 [0.11910, 0.45739]",gptneo-1b3,LoRA,0.7152058907635116,0.6868045693115159,0.7321342096160498,0.0453296403045339,0.9855182810439193,0.6833802576448376,1.0885034526031796,0.40512319495834204,1.0050971518478558,0.9040581140073114,1.1930101926255934,0.288952078618282,0.1870678054503889,0.11910369545891668,0.4573857313901389,0.3382820359312222
GPT-Neo-1.3B,ZS,"0.0307 [0.0143, 0.0445]","3.1058 [2.1264, 3.2388]","3.8454 [2.9318, 4.2258]","0.00385 [0.00120, 0.00672]",gptneo-1b3,ZeroShot,0.03071561338289963,0.01425742574257426,0.04447066962378172,0.03021324388120746,3.105767722956719,2.1263521104714282,3.2388386524502595,1.1124865419788312,3.8454094393890683,2.9317647228572996,4.225764863378437,1.2940001405211374,0.003850543350611111,0.0011957376342777775,0.006721687153555556,0.005525949519277778
GPT2,FS,"0.0787 [0.0660, 0.0869]","1.3213 [1.2256, 1.5218]","1.3901 [1.2290, 1.6624]","0.01486 [0.01476, 0.03177]",gpt2,FewShot-LoRA,0.07865346534653465,0.06597440663425794,0.08690934000718933,0.020934933372931397,1.3213035038721443,1.2256065999830061,1.5217982374734809,0.2961916374904747,1.3901373242954491,1.2289755086200995,1.6624174796000566,0.43344197097995707,0.01486277362738889,0.014763781843999998,0.03177144607422222,0.017007664230222222
GPT2,LoRA,"0.7221 [0.7080, 0.8031]","0.9116 [0.8467, 1.2875]","0.9537 [0.8585, 0.9875]","0.10170 [0.09567, 0.13659]",gpt2,LoRA,0.7221302871256561,0.708039603960396,0.8030900495791536,0.09505044561875764,0.91159526388716,0.8467325616066896,1.2874553872240146,0.440722825617325,0.9537075335247682,0.8585175739993796,0.9875403022309459,0.12902272823156635,0.10170308718194446,0.09567017075149999,0.13658502006355555,0.040914849312055565
GPT2,ZS,"0.0393 [0.0368, 0.0395]","3.7049 [2.3996, 3.8672]","2.7341 [2.0567, 3.4151]","0.00117 [0.00102, 0.00182]",gpt2,ZeroShot,0.03932673267326733,0.03678913244828651,0.03948384329425222,0.00269471084596571,3.704886843459316,2.3996195010073063,3.8671568467923905,1.4675373457850842,2.7340900923095024,2.0566733185004806,3.415058316750102,1.3583849982496212,0.0011746679435,0.0010230293046111112,0.0018236108154444444,0.0008005815108333332
Gemma-2-2B,FS,"0.0874 [0.0751, 0.1771]","1.6820 [1.5183, 1.9549]","2.0366 [1.9580, 2.5020]","0.11796 [0.06112, 0.14829]",gemma-2-2b,FewShot-LoRA,0.08736633663366336,0.07509651129539605,0.17707150656872922,0.10197499527333317,1.6820199386158563,1.5183356666187249,1.9549228665470384,0.4365871999283135,2.036642552723521,1.9579989153585244,2.501980295490174,0.5439813801316498,0.11795901254994444,0.061117843068277784,0.14828842395577777,0.08717058088749999
Gemma-2-2B,LoRA,"0.6392 [0.6354, 0.8125]","1.2339 [1.0472, 1.2953]","1.0153 [0.9371, 1.2346]","0.40235 [0.38852, 0.94224]",gemma-2-2b,LoRA,0.6391664093856129,0.6354226241540368,0.8124680380626828,0.17704541390864592,1.2338594445332443,1.0471931455635148,1.2952726560949397,0.24807951053142485,1.0152530148133114,0.937095635593208,1.2345736352901648,0.2974779996969569,0.40235150240711115,0.3885213214093333,0.9422378052722686,0.5537164838629354
Gemma-2-2B,ZS,"0.0298 [0.0252, 0.0345]","3.6358 [2.9622, 4.3306]","2.9560 [2.7625, 3.2431]","0.00558 [0.00369, 0.01072]",gemma-2-2b,ZeroShot,0.02976122390620532,0.025236184007409696,0.03445533304928278,0.00921914904187308,3.635787930015342,2.9621769553458335,4.330644080803877,1.3684671254580434,2.955976286512768,2.7624600552096226,3.2431331460333856,0.4806730908237631,0.005583985857277778,0.003690858384611111,0.010716379135777778,0.007025520751166667
Llama3.2-1B,FS,"0.0874 [0.0425, 0.1017]","1.5461 [1.4527, 1.7659]","1.6669 [1.5502, 1.8239]","0.04942 [0.02013, 0.07429]",llama32-1b,FewShot-LoRA,0.0874356522269925,0.0424950495049505,0.10169073491564198,0.059195685410691486,1.546065143725527,1.452680565992157,1.765939622388028,0.31325905639587104,1.666863511277776,1.5502247829166755,1.8239467367403335,0.27372195382365794,0.04941683718561111,0.0201324660085,0.0742877923833889,0.054155326374888894
Llama3.2-1B,LoRA,"0.7027 [0.6818, 0.7992]","0.9497 [0.6937, 1.0455]","0.9501 [0.7790, 1.1601]","0.20676 [0.16920, 0.48493]",llama32-1b,LoRA,0.7026798394566225,0.6818019801980199,0.7992471564897146,0.11744517629169471,0.9497252942279888,0.6937281896065386,1.0454765852795969,0.35174839567305827,0.9500676042439578,0.7789918778752285,1.1601257978524313,0.3811339199772028,0.20675657358308333,0.16919534156747223,0.4849272949869722,0.31573195341949994
Llama3.2-1B,ZS,"0.0375 [0.0236, 0.0441]","2.8389 [2.6242, 5.9567]","3.9269 [2.9487, 4.8865]","0.00278 [0.00094, 0.00559]",llama32-1b,ZeroShot,0.03751429796968831,0.023564356435643564,0.04405287538744311,0.020488518951799546,2.8388536178894404,2.6241675063201257,5.9566763697709195,3.332508863450794,3.9268516433052136,2.948662874853403,4.8864904216543765,1.9378275468009734,0.002781981558833333,0.0009396752153333334,0.005587572589555555,0.004647897374222222
Qwen2.5-0.5B,FS,"0.0465 [0.0422, 0.0796]","1.2617 [1.1122, 1.4890]","1.5544 [1.4483, 1.5999]","0.04540 [0.03517, 0.04645]",qwen25-05b,FewShot-LoRA,0.04650772090363168,0.042217821782178214,0.07957284608758758,0.037355024305409365,1.261674576485511,1.1122254202931925,1.4890045770916847,0.37677915679849217,1.5544287232691698,1.4483404005850933,1.5998526143131544,0.15151221372806112,0.04539807876811111,0.03516538080388888,0.046452420079055555,0.011287039275166673
Qwen2.5-0.5B,LoRA,"0.7153 [0.6702, 0.8541]","0.9437 [0.6619, 0.9725]","0.8931 [0.7399, 0.9626]","0.21208 [0.20827, 0.35070]",qwen25-05b,LoRA,0.7152824945970979,0.6702178217821781,0.8541152054041955,0.18389738362201735,0.9437112789678146,0.661901825826423,0.9725026095645262,0.3106007837381032,0.8930611857855604,0.7398731397542913,0.9626092239795344,0.22273608422524316,0.2120798115911111,0.2082678817551667,0.3507012100488611,0.14243332829369443
Qwen2.5-0.5B,ZS,"0.0442 [0.0433, 0.0454]","2.8299 [2.7691, 3.0504]","2.9607 [2.7926, 3.3334]","0.00191 [0.00132, 0.00255]",qwen25-05b,ZeroShot,0.04416953221966753,0.043326732673267324,0.04537460680583357,0.002047874132566248,2.8299368465333656,2.7690785768150104,3.05038393092957,0.2813053541145596,2.9607304610233154,2.7925938759913724,3.333355226343007,0.5407613503516346,0.0019117941247222222,0.0013234309660555557,0.0025503757484444446,0.001226944782388889
