scope,dataset,model,model_pretty,paradigm,n_rows,n_cases,na_n,na_accuracy,na_error_rate,rt_n,rt_mse,rt_rmse,rt_mae,rt_median_ae,rt_p90_ae,rt_bias,nt_n,nt_mse,nt_rmse,nt_mae,nt_median_ae,nt_p90_ae,nt_bias
common_rows_all_present_models,BPI12,gemma-2-2b,Gemma-2-2B,llm,2000,1185,2000,0.561,0.43899999999999995,2000,2.36082784481261,1.5364985664856996,1.1354791585876665,0.8360296040773392,2.933854144811631,-1.1075949997854477,2000,1.548400252521207,1.2443473198915194,0.43355807415102027,0.161145381629467,0.6240810781717302,-0.20932728883009985
common_rows_all_present_models,BPI12,llama32-1b,Llama-3.2-1B,llm,2000,1185,2000,0.5735,0.4265,2000,2.7710518489062608,1.6646476650950077,1.2207067502144782,0.9220717458520085,3.1399621188640596,-1.2068739676479308,2000,1.614602012330981,1.2706699069116971,0.4000968981108163,0.10961247980594635,0.5378457657992842,-0.3380091346395202
common_rows_all_present_models,BPI12,rnn,RNN,sequence,2000,1185,2000,0.7565,0.24350000000000005,2000,1.7768708705227252,1.3329931997286126,0.9496519283612724,0.5765149779617786,2.5418595101684334,-0.8366704237755038,2000,1.4265047140242255,1.194363727691119,0.41766894751403016,0.16955038346350193,0.5742086470127115,-0.21280053778705768
common_rows_all_present_models,BPI12,saprpt,SAP-RPT,tabular_fm,2000,1185,2000,0.632,0.368,2000,2.155807301881799,1.4682667679552646,1.0570150079991727,0.7953610429540277,2.65373147726059,-1.0327320056151656,2000,1.5554374898819796,1.2471717964586835,0.35785507478786166,0.06317969411611557,0.5155569463968287,-0.19562195244280156
common_rows_all_present_models,BPI12,tabpfn3,TabPFN-3,tabular_fm,2000,1185,2000,0.6385,0.36150000000000004,2000,2.311417591366375,1.5203346971526943,1.098831232909375,0.8690759427845478,2.816278386116028,-1.0824777742664156,2000,1.5494961302203656,1.2447875843774976,0.3482743762129685,0.04191041737794876,0.4126589965075257,-0.2081949707780732
common_rows_all_present_models,BPI12,transformer,Transformer,sequence,2000,1185,2000,0.7515,0.24850000000000005,2000,3.15763232556569,1.7769727982064583,1.3986182192167325,1.1371439173817635,3.2291949450969706,-1.398298957636027,2000,1.5434953457382368,1.2423748813213493,0.36638993089215366,0.09169046580791473,0.5091383934021009,-0.32243415040837137
common_rows_all_present_models,BPI17,gemma-2-2b,Gemma-2-2B,llm,2000,1724,2000,0.825,0.17500000000000004,2000,1.4450850624897802,1.2021169088278312,0.885964287843999,0.5467667058110237,2.1561449825763703,-0.854689825170186,2000,1.0174450885417206,1.0086848311250252,0.32025961557962,0.15301958471536636,0.4196895197033883,-0.23728269853815437
common_rows_all_present_models,BPI17,llama32-1b,Llama-3.2-1B,llm,2000,1724,2000,0.798,0.20199999999999996,2000,0.6348589425174332,0.7967803602734151,0.6165117740049245,0.48588399216532707,1.236480337381363,-0.1931424501936199,2000,0.801680531443473,0.8953661437889379,0.3177133397982689,0.14748192951083183,0.4408634066581731,0.048737855357001536
common_rows_all_present_models,BPI17,rnn,RNN,sequence,2000,1724,2000,0.857,0.14300000000000002,2000,0.7314405737072129,0.8552429910307439,0.6258391866680686,0.39579997956752777,1.473511910438538,-0.37412194080753397,2000,0.8398272939770882,0.9164209152878868,0.2728612338221283,0.10873381048440933,0.3749409317970276,-0.11170193083706545
common_rows_all_present_models,BPI17,saprpt,SAP-RPT,tabular_fm,2000,1724,2000,0.619,0.381,2000,1.3918840663694236,1.1797813637998456,0.8306247896523928,0.48889475339092314,2.1450469136238097,-0.7855928915710901,2000,1.197491961326013,1.0942997584419056,0.3160031334577361,0.07623817771673203,0.6661327570676808,-0.07454674207919743
common_rows_all_present_models,BPI17,tabpfn3,TabPFN-3,tabular_fm,2000,1724,2000,0.6495,0.35050000000000003,2000,1.9068322491032477,1.38088096847746,1.009049776361826,0.7051213756203651,2.558082276582718,-0.9984087589248447,2000,1.2261731978700874,1.107327050997169,0.28048803211504125,0.055587686598300934,0.3985157787799837,-0.12672825650440064
common_rows_all_present_models,BPI17,transformer,Transformer,sequence,2000,1724,2000,0.852,0.14800000000000002,2000,1.1405261272654301,1.0679541784484154,0.7641439160176305,0.4424988329410553,1.9402897626161577,-0.708934572553706,2000,0.9907164733625005,0.9953474134002159,0.24176726764498743,0.06755563616752625,0.3004624083638192,-0.1379319914294174
common_rows_all_present_models,BPI20PrepaidTravelCosts,gemma-2-2b,Gemma-2-2B,llm,2000,539,2000,0.623,0.377,2000,1.9537292364825138,1.3977586474361423,1.0631350154169703,0.8124370127916336,2.238231074810031,-1.0434931738387896,2000,0.760531555238808,0.8720846032575097,0.406649973679042,0.21846041455864906,0.775701715797186,0.010849342965228971
common_rows_all_present_models,BPI20PrepaidTravelCosts,llama32-1b,Llama-3.2-1B,llm,2000,539,2000,0.6105,0.38949999999999996,2000,0.9751832071282507,0.9875136490845332,0.610363236033365,0.33634891360998154,1.5423113174736502,-0.2751564840744177,2000,1.0377904264497297,1.0187199941346639,0.6284422779499282,0.425486259162426,1.3426226016134024,0.21890598196296104
common_rows_all_present_models,BPI20PrepaidTravelCosts,rnn,RNN,sequence,2000,539,2000,0.7835,0.21650000000000003,2000,1.0218072602648691,1.0108448250176034,0.6733034639041653,0.4450621223077178,1.4520798653364182,-0.06384192291486397,2000,0.8743592195072825,0.9350717723828917,0.452113694011131,0.2554546445608139,0.8315702036023148,0.03491744867864963
common_rows_all_present_models,BPI20PrepaidTravelCosts,saprpt,SAP-RPT,tabular_fm,2000,539,2000,0.743,0.257,2000,0.96715678809401,0.9834412987535199,0.5486012322796523,0.2042708694934845,1.5252856492996238,-0.2744365861368351,2000,0.7695224435534121,0.8772242834950548,0.3361442058855746,0.08460912108421326,0.7839814245700842,-0.0710458803165393
common_rows_all_present_models,BPI20PrepaidTravelCosts,tabpfn3,TabPFN-3,tabular_fm,2000,539,2000,0.64,0.36,2000,0.9159567987077265,0.9570563195067083,0.5415902438291595,0.22323760390281677,1.4470311403274536,-0.2065507543671629,2000,0.8104399317362286,0.9002443733432766,0.31472566657989137,0.06320533156394958,0.7803360134363176,-0.12741793655919992
common_rows_all_present_models,BPI20PrepaidTravelCosts,transformer,Transformer,sequence,2000,539,2000,0.7795,0.22050000000000003,2000,1.0550001940713787,1.0271320236811716,0.5752809457243202,0.22652876377105713,1.5862073592841632,-0.3897644623490269,2000,0.9120879667186969,0.9550329662994346,0.5570521015210971,0.42137086391448975,0.8372891306877139,0.21628225929597011
common_rows_all_present_models,BPI20RequestForPayment,gemma-2-2b,Gemma-2-2B,llm,2000,1068,2000,0.8735,0.12649999999999995,2000,0.7376760414541407,0.8588806910474474,0.622616459656274,0.48632492683827877,1.3398615241050722,0.10698644750076346,2000,0.82190214616712,0.9065881899556821,0.5057693362283753,0.22129571437835693,1.097490355372429,-0.02248136353015434
common_rows_all_present_models,BPI20RequestForPayment,llama32-1b,Llama-3.2-1B,llm,2000,1068,2000,0.852,0.14800000000000002,2000,0.6813839486469956,0.8254598407233362,0.5729292390083137,0.35690687596797943,1.2620544850826265,0.014732143340137555,2000,0.8446108561702647,0.9190271248283506,0.47985244588099885,0.16272562742233276,1.0784794107079507,-0.12973530256503726
common_rows_all_present_models,BPI20RequestForPayment,rnn,RNN,sequence,2000,1068,2000,0.8925,0.10750000000000004,2000,0.7239541679263157,0.8508549629204237,0.5525356138569768,0.3291129618883133,1.3566658705472947,-0.1487444561040029,2000,0.846009506587799,0.9197877508359192,0.5006227692102547,0.24167205393314362,1.1419920057058335,-0.1387306168905925
common_rows_all_present_models,BPI20RequestForPayment,saprpt,SAP-RPT,tabular_fm,2000,1068,2000,0.7435,0.25649999999999995,2000,0.6628072554480935,0.8141297534472582,0.5166596953014959,0.295562744140625,1.2876103997230541,-0.05741712539427681,2000,0.8031064803260433,0.8961620837359965,0.45027690709626766,0.11621305346488953,1.174543365836144,-0.04011470172426198
common_rows_all_present_models,BPI20RequestForPayment,tabpfn3,TabPFN-3,tabular_fm,2000,1068,2000,0.7275,0.27249999999999996,2000,0.6826522104916628,0.8262276989375645,0.49864521422592223,0.2702329345047474,1.2981107115745547,-0.16917852317978396,2000,0.7865206195163044,0.8868599774013395,0.431519413831993,0.14786797855049372,1.1769519805908204,-0.07601885661680717
common_rows_all_present_models,BPI20RequestForPayment,transformer,Transformer,sequence,2000,1068,2000,0.8945,0.10550000000000004,2000,0.6947387663339817,0.8335099077599388,0.5284982028345694,0.2922878637909889,1.3432242572307591,-0.1451584330999176,2000,0.8364436793365414,0.9145729491607224,0.4747920146106044,0.1872258335351944,1.152355700731278,-0.12843109351152088
common_rows_all_present_models,BPI20TravelPermitData,gemma-2-2b,Gemma-2-2B,llm,2000,1406,2000,0.66,0.33999999999999997,2000,1.1576182514277111,1.075926694263002,0.7644090798062243,0.5029208958148956,1.8506765007972719,-0.6404952082728123,2000,1.1044355815434261,1.0509213013082503,0.5571725940064644,0.33766690641641617,0.9797843664884569,-0.43003841432376066
common_rows_all_present_models,BPI20TravelPermitData,llama32-1b,Llama-3.2-1B,llm,2000,1406,2000,0.737,0.263,2000,0.9683282242448984,0.984036698627088,0.6431279486350686,0.35834773629903793,1.6847842514514926,-0.4083690913215833,2000,1.0133629524158934,1.0066593030493949,0.4730397025597631,0.22514565289020538,0.9875853348523381,-0.2615269862567657
common_rows_all_present_models,BPI20TravelPermitData,rnn,RNN,sequence,2000,1406,2000,0.741,0.259,2000,0.9551705309802273,0.9773282616297491,0.6223585532072903,0.3125588111579418,1.6847301959991456,-0.39114982286408484,2000,1.109328337577265,1.0532465701711375,0.44853075117612023,0.16761741787195206,0.9236555114388477,-0.22582857597741532
common_rows_all_present_models,BPI20TravelPermitData,saprpt,SAP-RPT,tabular_fm,2000,1406,2000,0.676,0.32399999999999995,2000,0.9307266912924892,0.9647417744103803,0.6276494252214179,0.33884866535663605,1.5572551488876345,-0.22460825986495184,2000,1.0735022887309529,1.0360995554148997,0.4386215286279912,0.12310238927602768,1.2310852468013787,-0.07744452359416755
common_rows_all_present_models,BPI20TravelPermitData,tabpfn3,TabPFN-3,tabular_fm,2000,1406,2000,0.604,0.396,2000,1.0069212683677609,1.0034546668224533,0.640320341520608,0.34340471029281616,1.6995886579155923,-0.30674885706078203,2000,1.0363621324628776,1.0180187289352183,0.43071429303562037,0.11284907162189484,1.2028451561927795,-0.07144990430312465
common_rows_all_present_models,BPI20TravelPermitData,transformer,Transformer,sequence,2000,1406,2000,0.725,0.275,2000,0.8532199884715387,0.9236990789599926,0.5774144499180984,0.26852280646562576,1.5758618806488818,-0.25962397508147117,2000,0.9424346798969824,0.9707907497998641,0.4338710948570515,0.19292105734348297,1.0238117454573512,-0.20938916943856747
